Gender,GivenName,Surname,Birthday,StreetAddress,EmailAddress,Centimeters,FeetInches
female,Melusina,Cuillerier,9/11/1966,"81 Boulevard de Normandie",MelusinaCuillerier@einrot.com,163,"5' 4"""
female,Phillipa,Dostie,11/14/1939,"33 rue Charles Corbeau",PhillipaDostie@rhyta.com,152,"5' 0"""
female,Blondelle,Ayot,8/1/1956,"12 Rue Frédéric Chopin",BlondelleAyot@teleworm.us,163,"5' 4"""
female,Blondelle,Lapointe,5/23/1974,"14 rue des lieutemants Thomazo",BlondelleLapointe@teleworm.us,157,"5' 2"""
male,Tyson,Picard,11/12/1970,"41 cours Jean Jaures",TysonPicard@fleckens.hu,189,"6' 2"""
female,Oriel,Ayot,7/29/1980,"5 rue Marguerite",OrielAyot@rhyta.com,157,"5' 2"""
female,Ninette,Morneau,6/13/1948,"86 Rue de Strasbourg",NinetteMorneau@armyspy.com,163,"5' 4"""
female,Sibyla,Lavoie,8/12/1933,"65 rue Victor Hugo",SibylaLavoie@rhyta.com,161,"5' 3"""
female,Ormazd,Thibault,5/17/1955,"5 avenue Ferdinand de Lesseps",OrmazdThibault@cuvox.de,152,"5' 0"""
female,Alphonsine,Robillard,5/27/1981,"3 rue Saint Germain",AlphonsineRobillard@cuvox.de,163,"5' 4"""
female,Jewel,Fresne,12/5/1937,"34 rue Gouin de Beauchesne",JewelFresne@teleworm.us,156,"5' 1"""
female,Luce,Lampron,10/17/2001,"88 avenue de Provence",LuceLampron@superrito.com,157,"5' 2"""
male,Russell,Hébert,6/18/1974,"30 rue Léon Dierx",RussellHebert@cuvox.de,188,"6' 2"""
female,Fusberta,Monty,6/29/1997,"76 boulevard Amiral Courbet",FusbertaMonty@gustr.com,155,"5' 1"""
female,Brier,Chouinard,6/23/1964,"98 rue de Penthièvre",BrierChouinard@armyspy.com,155,"5' 1"""
female,Sophie,Mothé,7/16/1977,"32 rue Gouin de Beauchesne",SophieMothe@jourrapide.com,161,"5' 3"""
male,Medoro,Lafond,1/30/1939,"73 rue du Clair Bocage",MedoroLafond@cuvox.de,163,"5' 4"""
male,Octave,Goguen,7/12/1974,"94 rue Jean Vilar",OctaveGoguen@dayrep.com,186,"6' 1"""
male,Lyle,Petrie,5/11/1958,"74 Rue Roussy",LylePetrie@rhyta.com,187,"6' 2"""
male,Aubert,Grignon,7/26/1940,"66 rue Descartes",AubertGrignon@gustr.com,182,"6' 0"""
female,Lotye,Goudreau,7/5/1977,"61 Quai des Belges",LotyeGoudreau@dayrep.com,161,"5' 3"""
male,Hardouin,Michel,1/27/1933,"72 rue du Président Roosevelt",HardouinMichel@teleworm.us,182,"6' 0"""
male,Léon,Briard,12/23/1937,"52 rue Bonneterie",LeonBriard@rhyta.com,163,"5' 4"""
male,Clovis,Veilleux,6/21/1972,"75 rue Ernest Renan",ClovisVeilleux@fleckens.hu,187,"6' 2"""
female,Anastasie,Doyon,11/10/1959,"70 Chemin Des Bateliers",AnastasieDoyon@jourrapide.com,155,"5' 1"""
female,Laure,Fluet,8/9/1990,"84 rue de Penthièvre",LaureFluet@teleworm.us,160,"5' 3"""
female,Camille,Desruisseaux,7/13/1961,"78 rue des Coudriers",CamilleDesruisseaux@dayrep.com,166,"5' 5"""
male,Alexis,Pelchat,8/9/1956,"25 rue La Boétie",AlexisPelchat@cuvox.de,185,"6' 1"""
male,Robert,Nadeau,4/1/1987,"70 rue Sadi Carnot",RobertNadeau@fleckens.hu,186,"6' 1"""
male,Benoît,Rouze,3/20/1996,"67 rue Banaudon",BenoitRouze@cuvox.de,186,"6' 1"""
male,Julien,Majory,2/3/1952,"53 rue Bonneterie",JulienMajory@jourrapide.com,185,"6' 1"""
female,Villette,Lemieux,1/8/1944,"35 Chemin Des Bateliers",VilletteLemieux@armyspy.com,155,"5' 1"""
male,Merlin,Massé,5/26/1960,"65 rue du Président Roosevelt",MerlinMasse@einrot.com,183,"6' 0"""
female,Fayme,Sorel,2/21/1955,"81 Square de la Couronne",FaymeSorel@teleworm.us,154,"5' 1"""
female,Alaine,Boisclair,11/25/1995,"64 rue Gontier-Patin",AlaineBoisclair@einrot.com,152,"5' 0"""
male,Hardouin,Rouze,9/7/1969,"37 rue Gontier-Patin",HardouinRouze@superrito.com,188,"6' 2"""
female,Orva,Villeneuve,1/7/1970,"38 Rue de la Pompe",OrvaVilleneuve@armyspy.com,160,"5' 3"""
male,Oliver,Labrie,5/12/1997,"46 rue de l'Epeule",OliverLabrie@fleckens.hu,189,"6' 2"""
female,Suzette,Desaulniers,11/12/2001,"38 rue Banaudon",SuzetteDesaulniers@gustr.com,154,"5' 1"""
female,Sophie,Pelchat,8/16/1951,"57 rue de l'Aigle",SophiePelchat@jourrapide.com,166,"5' 5"""
female,Voleta,Langlais,10/3/1961,"99 rue Saint Germain",VoletaLanglais@cuvox.de,161,"5' 3"""
male,Garland,Vertefeuille,7/2/1980,"66 Avenue des Pr'es",GarlandVertefeuille@rhyta.com,188,"6' 2"""
male,Lucas,Mailhot,6/12/1971,"84 rue Charles Corbeau",LucasMailhot@rhyta.com,184,"6' 0"""
male,Christophe,Beaupré,4/14/1962,"12 rue Victor Hugo",ChristopheBeaupre@fleckens.hu,183,"6' 0"""
male,Marmion,Parmentier,7/9/1958,"37 rue Cazade",MarmionParmentier@jourrapide.com,182,"6' 0"""
female,Aubrey,Aupry,2/23/1975,"9 rue Charles Corbeau",AubreyAupry@jourrapide.com,156,"5' 1"""
female,Emmeline,Moïse,2/10/1964,"38 Rue du Limas",EmmelineMoise@einrot.com,157,"5' 2"""
female,Sabine,Beaulé,1/24/1980,"6 Rue St Ferréol",SabineBeaule@fleckens.hu,156,"5' 1"""
male,Harbin,Clavet,1/25/1976,"95 Chemin Des Bateliers",HarbinClavet@einrot.com,188,"6' 2"""
male,Granville,Lapresse,9/17/1999,"17 Faubourg Saint Honoré",GranvilleLapresse@teleworm.us,161,"5' 3"""
male,Verrill,Rossignol,8/23/1962,"54 rue du Faubourg National",VerrillRossignol@armyspy.com,187,"6' 2"""
female,Melisande,Deslauriers,3/5/1968,"72 rue du Château",MelisandeDeslauriers@armyspy.com,158,"5' 2"""
